NUMBER_OF_OBSERVATIONS,OBSERVATION_TIME_FRACTION,TIME_DELTA,TOTAL_POINTS,SAMPLING_METHOD,LAYER_RATIOS,INPUT_RANGE,HIDDEN_DIMENSION,NUMBER_OF_EPOCHS,LEARNING_RATE,PHYSICS_WEIGHT,STEPSIZE,NUMBER_OF_ITERATIONS,TEMPERATURE,X_TOLERANCE,F_TOLERANCE,MAX_NFEV,A_PERT,ECC_PERT,INC_PERT,RAAN_PERT,ARGPER_PERT,ANOM_PERT,POS_RMSE,POS_RMSE_NLLS,VEL_RMSE,VEL_RMSE_NLLS,FILE_USED,SAVED_AS
260,0.5,1e-10 d,300,uniform,"[(0.0, 0.0001), (0.0001, 0.9999), (0.9999, 1.0)]","(-1, 1)",20,100000,0.01,1000,1,50,1,1E-15,1E-15,100,0,0,0,0,0,0,40.2527325266184,40.2527325266184,0.0045539930157219,0.0045539930157219,NA,2BD_GEO_GROUND_SGD_run_9.csv
260,0.5,1e-10 d,300,uniform,"[(0.0, 0.0001), (0.0001, 0.9999), (0.9999, 1.0)]","(-1, 1)",20,100000,0.01,1000,1,50,1,1E-15,1E-15,100,0,0,0,0,0,0,218.095875573441,218.095875573441,0.0236580178954921,0.0236580178954921,NA,2BD_GEO_GROUND_SGD_run_2.csv
260,0.5,1e-10 d,300,uniform,"[(0.0, 0.0001), (0.0001, 0.9999), (0.9999, 1.0)]","(-1, 1)",20,100000,0.01,1000,1,50,1,1E-15,1E-15,100,0,0,0,0,0,0,204.963053563971,204.963053563971,0.0223588536735371,0.0223588536735371,NA,2BD_GEO_GROUND_SGD_run_6.csv
260,0.5,1e-10 d,300,uniform,"[(0.0, 0.0001), (0.0001, 0.9999), (0.9999, 1.0)]","(-1, 1)",20,100000,0.01,1000,1,50,1,1E-15,1E-15,100,0,0,0,0,0,0,349.381535937136,349.381535937136,0.037732205611763,0.037732205611763,NA,2BD_GEO_GROUND_SGD_run_3.csv
260,0.5,1e-10 d,300,uniform,"[(0.0, 0.0001), (0.0001, 0.9999), (0.9999, 1.0)]","(-1, 1)",20,100000,0.01,1000,1,50,1,1E-15,1E-15,100,0,0,0,0,0,0,256.144377775147,256.144377775147,0.0277152453775678,0.0277152453775678,NA,2BD_GEO_GROUND_SGD_run_7.csv
260,0.5,1e-10 d,300,uniform,"[(0.0, 0.0001), (0.0001, 0.9999), (0.9999, 1.0)]","(-1, 1)",20,100000,0.01,10000,1,50,1,1E-15,1E-15,100,0,0,0,0,0,0,1434.39301516853,1434.39301516853,0.150719789271864,0.150719789271864,NA,2BD_GEO_GROUND_SGD_run_0.csv
260,0.5,1e-10 d,300,uniform,"[(0.0, 0.0001), (0.0001, 0.9999), (0.9999, 1.0)]","(-1, 1)",20,100000,0.01,10000,1,50,1,1E-15,1E-15,100,0,0,0,0,0,0,1649.94657759207,1649.94657759207,0.172101387446672,0.172101387446672,NA,2BD_GEO_GROUND_SGD_run_4.csv
260,0.5,1e-10 d,300,uniform,"[(0.0, 0.0001), (0.0001, 0.9999), (0.9999, 1.0)]","(-1, 1)",20,100000,0.01,10000,1,50,1,1E-15,1E-15,100,0,0,0,0,0,0,454.56275346876,454.56275346876,0.0484706062652005,0.0484706062652005,NA,2BD_GEO_GROUND_SGD_run_8.csv
260,0.5,1e-10 d,300,uniform,"[(0.0, 0.0001), (0.0001, 0.9999), (0.9999, 1.0)]","(-1, 1)",20,100000,0.01,10000,1,50,1,1E-15,1E-15,100,0,0,0,0,0,0,1449.73293878466,1449.73293878466,0.151640338307363,0.151640338307363,NA,2BD_GEO_GROUND_SGD_run_1.csv
260,0.5,1e-10 d,300,uniform,"[(0.0, 0.0001), (0.0001, 0.9999), (0.9999, 1.0)]","(-1, 1)",20,100000,0.01,10000,1,50,1,1E-15,1E-15,100,0,0,0,0,0,0,256.504229388342,256.504229388342,0.0274911459117546,0.0274911459117546,NA,2BD_GEO_GROUND_SGD_run_5.csv
260,0.5,1e-10 d,300,uniform,"[(0.0, 0.0001), (0.0001, 0.9999), (0.9999, 1.0)]","(-1, 1)",20,100000,0.01,10000,1,50,1,1E-15,1E-15,100,0,0,0,0,0,0,551.023880470878,551.023880470878,0.0585978270375526,0.0585978270375526,NA,2BD_GEO_GROUND_SGD_run_9.csv
260,0.5,1e-10 d,300,uniform,"[(0.0, 0.0001), (0.0001, 0.9999), (0.9999, 1.0)]","(-1, 1)",20,100000,0.01,10000,1,50,1,1E-15,1E-15,100,0,0,0,0,0,0,555.096726294859,555.096726294859,0.0591288836365463,0.0591288836365463,NA,2BD_GEO_GROUND_SGD_run_2.csv
260,0.5,1e-10 d,300,uniform,"[(0.0, 0.0001), (0.0001, 0.9999), (0.9999, 1.0)]","(-1, 1)",20,100000,0.01,10000,1,50,1,1E-15,1E-15,100,0,0,0,0,0,0,893.623542048248,893.623542048248,0.094450642223974,0.094450642223974,NA,2BD_GEO_GROUND_SGD_run_6.csv
260,0.5,1e-10 d,300,uniform,"[(0.0, 0.0001), (0.0001, 0.9999), (0.9999, 1.0)]","(-1, 1)",20,100000,0.01,10000,1,50,1,1E-15,1E-15,100,0,0,0,0,0,0,831.532332399313,831.532332399313,0.0882001037118467,0.0882001037118467,NA,2BD_GEO_GROUND_SGD_run_3.csv
260,0.5,1e-10 d,300,uniform,"[(0.0, 0.0001), (0.0001, 0.9999), (0.9999, 1.0)]","(-1, 1)",20,100000,0.01,10000,1,50,1,1E-15,1E-15,100,0,0,0,0,0,0,486.397684690492,486.397684690492,0.0517042621436285,0.0517042621436285,NA,2BD_GEO_GROUND_SGD_run_7.csv
